TWA/TWS;0;3;6;9;12;15;18;21;25;30;35;40;50;60;70;80;90
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
30;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
35;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
40;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
45;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
50;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
55;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
60;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
65;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
70;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
75;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
80;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
85;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
90;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
95;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
100;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
105;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
110;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
115;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
120;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
125;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
130;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
135;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
140;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
145;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
150;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
155;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
160;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
165;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
170;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
175;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
